Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.13,Report,Income from special levies retained by the utility: water supply,yes/no,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.3a,Report,Upper bound of usage: step 1,kL,,225,225,225,225,225,225,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.4a,Report,Upper bound of usage: step 2,kL,,19999,19999,19999,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.5a,Report,Upper bound of usage: step 3,kL,,Not applicable,Not applicable,Not applicable,Not applicable,,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.6a,Report,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P1.7a,Report,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P2,Report,Annual residential bill based on 200 kL per annum: water supply,$,,424.2,450.8,470.84,478.47,484.86,486.42,495.8,470.67,429.21,385.27,352.05,320.64,293.06,270.3,270.91,273.5,269.1,270.84,263.47,301.08,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P3,Report,Typical residential bill: water supply,$,,420.48,434.38,499.29,574.81,598.46,579.59,502.36,507.06,435.35,436.56,453.55,323.92,276.05,285.62,287.46,268.56,359.34,378.05,361.73,331.29,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4,Report,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed,Fixed,Fixed,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,Fixed Charge,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.1,Report,Fixed charge: wastewater,$,,714.25,763.37,797.3,810.23,821.06,834.59,850.69,852.79,785.85,701.75,628.29,586.08,596.88,590.51,565.92,573.33,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.2,Report,Usage charge: wastewater,$/kL,,Not applicable,Not applicable,Not applicable,Not applicable,0,Not applicable,Not applicable,Not applicable,,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.3,Report,Special levies: wastewater,$,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,0,0,0,0,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Residential tariff structure,P4.4,Report,Income from special levies retained by the utility: wastewater,yes/no,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,No,No,No,No,No,No,No,No,No,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P5,Report,Annual residential bill based on 200 kL per annum: wastewater,$,,714.25,763.37,797.3,810.23,821.06,834.59,850.75,852.79,785.85,701.75,628.29,586.08,596.88,590.51,565.92,573.33,536.69,552.58,554.26,542.94,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P6,Report,Typical residential bill: wastewater,$,,714.25,763.37,797.3,810.23,821.06,834.59,850.75,852.79,785.85,701.75,628.29,586.08,596.88,590.51,565.92,573.33,536.69,552.58,554.26,581.18,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P7,Derived,Total annual residential bill based on 200 kL per annum,$,,1138,1214,1268,1288,1305,1321,1346,1323,1215,1087,980,907,890,861,837,847,806,823,818,844,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Pricing,Annual bill,P8,Derived,Total typical residential bill,$,,1135,1198,1297,1385,1419,1415,1353,1360,1221,1138,1082,910,873,876,853,842,896,931,916,912,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Sources,W1,Report,Volume of water sourced from surface water,ML,,7097,6483,7515,8626,8892,7142,6539,7353,6238,7599,7376,6272,5542,6881,6319,5534,8752,9705,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Sources,W2,Report,Volume of water sourced from groundwater,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Sources,W3.1,Report,Volume of water sourced from desalination of marine water,ML,,0,0,0,Not applicable,0,Not applicable,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W5,Derived,Total volume of water received from other service providers or operational areas within the urban water system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W5.3,Report,"Volume of water, excluding recycled water, received from other service providers or operational areas within the urban water supply system",ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W6,Report,Volume of recycled water received from other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Sources,W7,Derived,Total volume of water sourced,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",7364,6583,7550,8626,8892,7142,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W8,Derived,Total volume of water supplied.to residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",4881,4619,5251,5829,5908,5483,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W8.3,Report,Volume of water supplied to residential customers,ML,,4881,4619,5251,5829,5908,5483,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W9,Derived,Total volume of water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",2523,1904,3902,3328,3353,4848,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W9.3,Report,Volume of water supplied to non-residential customers,ML,,1860,1470,1931,2512,2737,2581,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W10.1,Report,Volume of non-revenue water,ML,,228,192,252,328,547,590,763,805,741,759,761,647,566,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Production,W11,Derived,Total volume of urban water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",7404,6089,7182,8341,8645,8063,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Production,W11.3,Report,Volume of potable water produced for supply into the urban water supply system,ML,,7086,6475,7502,8617,8883,8283,7994,8462,7788,8078,8310,6743,5379,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W12,Derived,Average volume of residential water supplied per property,KL/property,,195.24,192.4583,218,246,252,237,204,223.3803,205,232,255,203,180,220,222.45,193,276,302,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W13,Report,Volume of water returned as environmental flows from outside of the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W14,Derived,Total volume of water exported to other service providers or operational areas within the urban water supply system,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",459,393,350,476,466,415,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W14.3,Report,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,459,393,350,476,466,415,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W15,Report,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Wastewater collected,W16,Report,"Volume of wastewater, excluding trade waste, collected",ML,,7671,6073,5335,4183,4295,4674,4951,4593,4156,4473,4533,5252,5102,4219,3609,4137,3386,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Wastewater collected,W17,Report,Volume of trade waste collected,ML,,279,219,218,4,4,4,4,4,284,290,335,104,172,311,178,154,900,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Wastewater collected,W18,Derived,Total volume of wastewater collected,ML,,7950,6292,5553,4187,4299,4678,4955,4597,4440,4477,4624,5356,5274,4530,3787,4291,4284,5326,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W18.1,Report,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Transfers,W18.2,Report,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Extraction for sewer mining,W18.3,Report,Volume of wastewater taken through sewer mining,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Inflow to plant,W18.4,Report,Volume of wastewater inflow to wastewater treatment plants,ML,,7950,6292,5553,4187,4299,4678,4955,4597,4440,4477,4624,5356,5274,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Wastewater collected,W19,Derived,Average volume of wastewater collected per property,KL/property,,345.7,273.6,245,182,180,185,200.6,189,185,204,214,251,249,216,183.7,211,204,245,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W21,Report,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",663,434,1971,816,616,2267,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W23,Report,Volume of recycled water supplied as environmental flows,ML,,5829,4868,3202,2481,1841,1618,3311,1427,1518,1664,1525,2564,1570,2445,1067,0,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W25.1,Report,Volume of recycled water supplied to managed aquifer recharge,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W26,Derived,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",6492,5302,5173,3297,2457,3885,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W27,Derived,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",82,84,93.2,79,57.2,83,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W28.4,Report,Volume of urban stormwater supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W28.5,Report,Volume of urban stormwater supplied to non-residential customers,ML,,0,0,0,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Outflow from plant,W30,Report,Volume of wastewater losses and spills,ML,,490,541,320,0,No data,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W29,Report,Volume of treated wastewater disposals,ML,,18,19,10,0,888,774,448,2082,3106,2082,22,69,51,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Use,W31,Report,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,396,187,257,0,0,0,,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Water Resources,Outflow from plant,W18.5,Report,Volume of treated effluent outflow from wastewater treatment plants,ML,,6020,4781,4781,4186,4299,4679,4954,4597,4444,4550,2755,5356,5273,,,,,,,,
